"step","input","output","scripts"
"methylation_processing_to_effect_size","public GEO/SRA-derived methylation matrices or WGBS/RRBS CpG reports","branch-level gene summary and dataset-level Hedges g tables","pipelines/blood_methylation/scripts/00_run_all_blood_methylation.R; pipelines/brain_methylation/scripts/00_run_all_brain_methylation.R; pipelines/placenta_lcl_methylation/scripts/00_run_all_placenta_lcl_methylation.R"
"expression_processing_to_effect_size","public GEO matrices, count files, signal files, and platform annotation","branch-level gene expression effect-size tables","pipelines/blood_expression/scripts/00_run_all_blood_expression.R; pipelines/brain_expression/scripts/00_run_all_brain_expression.R; pipelines/placenta_lcl_expression/scripts/00_run_all_placenta_lcl_expression.R"
"GSE36315_custom_annotation_sensitivity","GPL15314 public probe sequences and GENCODE v19 transcript FASTA","custom-annotated GSE36315 sensitivity effect-size tables","pipelines/gse36315_custom_probe_remapping/scripts/*.R; pipelines/gse36315_brain_expression_sensitivity/scripts/run_gse36315_custom_annotation_brain_expression_sensitivity.R"
"metafor_meta_analysis","dataset-level Hedges g and variance tables","metafor pooled gene-level results and model summaries","scripts/04_meta_analysis/00_run_all_meta_analysis_models.R"
"cross_omic_convergence_pathway","methylation and expression model outputs","convergence tables, enrichment tables, pathway summaries","scripts/05_convergence_pathway/*.R"
"figures","dataset-flow and pathway/enrichment summary tables","publication figure image files","scripts/06_figures/*.R"
